OBJECTID;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECESTADO;LECCLASIF;LECCODSEC;LECNOMSEC;LECCONTACTO;LECANIO;LECCODSIMCO
54;62;Museo Nacional de Colombia;Cra 7 No 28 -66;3816470 3156481058;Info@museonacional.gov.co;http://www.museonacional.gov.co;03;SANTA FE;UPZ91;SAGRADO CORAZON;Activo;Publica;N.A;N.A;N.A;N.A;11001-33
55;63;Museo Nacional de Geografía y Cartografía IGAC;Carrera 30 Avenida Ciudad de Quito No. 48-51;57-1-3694000 57-1-3694100;biblioteca@igac.gov.co;www.igac.gov.co;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Publica;N.A;N.A;N.A;N.A;11001-58
56;64;Museo Nacional de la Memoria Histórica - Centro Nacional de Memoria Histórica;Cra 6 N° 35-29;7965060;museonacionaldelamemoria@centrodememoriahistorica*;www.centrodememoriahistorica.gov.co/museo;03;SANTA FE;UPZ91;SAGRADO CORAZON;Activo;Privada;N.A;N.A;N.A;N.A;11001-55
57;65;Museo Nacional de Suelos de Colombia del Instituto Geográfico Agustín Codazzi;Carrera 30 # 48-51, Bogotá;3694000;laboratorio@igac.gov.co;N.A;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Publica;N.A;N.A;N.A;N.A;11001-48
1;1;Casa Museo Francisco de Paula Santander;Centro Cultural Hacienda El Cedro. Carrera 7 No. *;614 75 55-2591333;casamuseosantander@gmail.com;www.centroculturalhaciendaelcedro.org;01;USAQUEN;UPZ13;LOS CEDROS;PreActivo;Privada;N.A;N.A;N.A;N.A;11001-1
2;2;Casa museo Grau Fundación Enrique Grau Araujo;Calle 94 No 7 – 48;2364669 telefax 6107782;info@fundacionenriquegrau.com;www.fundacionenriquegrau.com;02;CHAPINERO;UPZ88;EL REFUGIO;Activo;Privada;N.A;N.A;N.A;N.A;11001-45
3;3;Casa museo Jorge Eliécer Gaitán - Universidad Nacional de Colombia;Calle 42 No. 15 - 52;5720070;casagaitan@unal.edu.co;N.A;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;Activo;Publica;N.A;N.A;N.A;N.A;11001-2
4;4;Casa museo Quinta de Bolívar;Carrera 7 No. 11 - 28;3366410 3108704294;aeraso@mincultura.gov.co;http://www.quintadebolivar.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-38
5;5;Casa museo Ricardo Gómez Campuzano - Asociación Cultural Banco de la República;Calle 80 No. 8 - 54 / 66, El Retiro;2100816 - 2155180 3102833367;asocultrgomezcampuzano@gmail.com;http://www.acrgomezcampuzano.org;02;CHAPINERO;UPZ88;EL REFUGIO;Activo;Privada;N.A;N.A;N.A;N.A;11001-3
6;7;Colección numismática Casa de la Moneda Banco de la República;Calle 11 No. 4 - 93;343 1208 - 3812908;Aaraujve@banrep.gov.co;www.banrepcultural.org;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-42
7;8;Museo de la Universidad del Rosario;Calle 12 C # 6 - 25;2970200 3166170615;visitasguiadas@urosario.edu.co;http://www.urosario.edu.co/Museo/Inicio/;17;CANDELARIA;UPZ94;LA CANDELARIA;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
8;9;Museo de La Salle;Cr 2 No 10 - 70;3346189 - 3535360 Ext: 2209 - 2214 3164668837;jespitia@lasalle.edu.co;http://www.museo.lasalle.edu.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Inactivo;NoConstit*;N.A;N.A;N.A;N.A;11001-5
9;10;Agro Parque Sabio Mutis;Calle 81B No. 72B - 70;+57 (1) 2916520 ext 7938 3016583868;agroparquesabiomutiscontacto@gmail.com;http://www.uniminuto.edu/web/ecna/agroparque-sabi*;10;ENGATIVA;UPZ29;MINUTO DE DIOS;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
10;11;Fotomuseo Museo Nacional de la Fotografía;Avenida 19 # 3 - 50, oficina 602, Torre A, Edific*;282 76 15;fotomuseobogota@fotomuseo.org;http://www.fotomuseo.org;03;SANTA FE;UPZ93;LAS NIEVES;PreActivo;Privada;N.A;N.A;N.A;N.A;11001-6
11;12;Fundación Enrique Grau Araujo;CALLE 94 N.7-48;2364669 3118431536;gestion@fundacionenriquegrau.com;www.fundacionenriquegrau.com;02;CHAPINERO;UPZ88;EL REFUGIO;PreActivo;Privada;N.A;N.A;N.A;N.A;No asignado
12;14;Maloka ciencia y tecnología interactiva;Carrera 68 D No. 24 A 51;427 2707 Ext. 1001;sfalla@maloka.org;www.maloka.org;09;FONTIBON;UPZ110;CIUDAD SALITRE OCCIDENTAL;Activo;Mixta;N.A;N.A;N.A;N.A;11001-7
13;15;Museo Aeroespacial Colombiano;"Comando de transporte militar - CATAM; Avenida el*";4397800 ext. 2066 3125269397;museo@fac.mil.co;www.fac.mil.co;09;FONTIBON;UPZ117;AEROPUERTO EL DORADO;Activo;Publica;N.A;N.A;N.A;N.A;11001-44
14;16;Museo arqueológico Casa del Marqués de San Jorge Musa;Carrera 6 No. 7- 43;2431048 - 2430465;d.rojas@musa.com.co;http://www.museoarqueologicomusa.com;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Privada;N.A;N.A;N.A;N.A;11001-8
15;17;Museo arqueológico e histórico de Santa María de la Antigua del Darién;Calle 12 # 2-38;031-4440544 ext 164 3114894338;asarcina@icanh.gov.co;http://www.icanh.gov.co/;17;CANDELARIA;UPZ94;LA CANDELARIA;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
16;18;Museo Botero del Banco de la República;Calle 11 No. 4 - 41;343 12 70-72 - 3812908- 343 1224;scastaga@banrep.gov.co;http://www.banrepcultural.org;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-9
17;19;Museo Casa Caldas Escuela de Ingenieros Militares Ejército Nacional de Colombia;Carrera 8 No. 6C-73;2896275 3017321513;museocasacaldasbogota@gmail.com;N.A;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;NoConstit*;N.A;N.A;N.A;N.A;11001-50
18;20;Fundación Museo Ciencias de la Salud;Calle 13 #32-44 piso 8º;7443333 ext 144 3123040878;museosalud@hotmail.com;N.A;16;PUENTE ARANDA;UPZ108;ZONA INDUSTRIAL;Activo;Privada;N.A;N.A;N.A;N.A;11001-56
19;22;Museo claustro de San Agustín Universidad Nacional de Colombia;Carrera 8 N° 7 - 21;3421803 - 3422340 3174271924;museos@unal.edu.co;http://www.museos.unal.edu.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-32
20;23;Museo Colonial;Carrera 8 No 8-91;5713424100;museocolonial@mincultura.gov.co;www.museocolonial.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-16
21;24;Museo de arquitectura Leopoldo Rother UNAL;Carrera 30 Nº 45-03, edificio 207;3165000 Ext.: 16901 – 16902;musalr_bog@unal.edu.co;N.A;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Publica;N.A;N.A;N.A;N.A;11001-43
22;25;Museo de arte contemporáneo;CALLE 81 B No. 72 B -70;2916520 EXTENSIÓN 6160 3173678365;wilmar.tovar@uniminuto.edu;http://mac.org.co/;10;ENGATIVA;UPZ29;MINUTO DE DIOS;Activo;Privada;N.A;N.A;N.A;N.A;11001-39
23;26;Museo de Arte del Banco de la República;CL 10 N° 4 - 60;3431212;erianole@banrep.gov.co;www.banrepcultural.org;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Privada;N.A;N.A;N.A;N.A;11001-41
24;27;Museo de arte moderno de Bogotá MAMBO;Calle 24 No. 6 - 00;286 0466 - 281 7710;direccion@mambogota.com;www.mambogota.com;03;SANTA FE;UPZ93;LAS NIEVES;Activo;Privada;N.A;N.A;N.A;N.A;11001-26
25;28;Museo de Arte Universidad Nacional de Colombia;Carrera 30 # 45 - 03, Ciudad Universitaria. Edifi*;316 5000 Ext. 11992/11993/11994/11995;museo_arte@unal.edu.co;www.patrimoniocultural.unal.edu.co/;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Publica;N.A;N.A;N.A;N.A;11001-11
26;29;Museo de Arte y Cultura Colsubsidio;CL 36 No. 5 A - 19 La Merced;7420100;museo@colsubsidio.com;http://www.colsubsidio.com;03;SANTA FE;UPZ102;LA SABANA;Inactivo;Privada;N.A;N.A;N.A;N.A;11001-27
27;31;Museo de Artes Visuales de la UJTL;Carrera  4 No. 22 - 40 piso 2.;2427030 ext 1404, 1405;museoartesvisuales@utadeo.edu.co;www.utadeo.edu.co;03;SANTA FE;UPZ93;LAS NIEVES;PreActivo;Privada;N.A;N.A;N.A;N.A;11001-19
28;32;Museo de Bogotá IDPC - Casa de los Siete Balcones;Calle 10 No. 3 – 61;2820488;conservacionmdb@idpc.gov.co;http://www.facebook.com/museodebogota;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-31
29;33;Museo de ciencias naturales de la Universidad El Bosque;Crr 9 # 131 a 02;648900 ext 1596;museodeciencias@unbosque.edu.co;N.A;01;USAQUEN;UPZ14;USAQUEN;Activo;Privada;N.A;N.A;N.A;N.A;11001-51
30;34;Museo de Historia de la Medicina Colombiana - Andrés Soriano Lleras;Carrera 7 No. 69 - 05;249 3122 - 345 88 90;presidencia@anmdecolombia.org.co;http://www.anmdecolombia.co;02;CHAPINERO;UPZ97;CHICO LAGO;Activo;Publica;N.A;N.A;N.A;N.A;11001-12
31;35;Museo de Historia de la Medicina Academia Nacional de Medicina de Colombia;Cra 7a # 69-11;345 8890 3182618818;com_museo@anmdecolombia.org.co;http://anmdecolombia.net/index.php/39-home/seccio*;02;CHAPINERO;UPZ97;CHICO LAGO;Activo;Privada;N.A;N.A;N.A;N.A;11001-49
32;36;Museo de historia natural UNAL;Ciudad Universitaria. Cra 30 Nro 45-03 Edificio 4*;316 5000 Ext.11535 - 11515;museohn_nal@unal.edu.co;http://www.ciencias.unal.edu.co;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Privada;N.A;N.A;N.A;N.A;11001-10
33;37;Museo de la ciencia y el juego UNAL;Ciudad Universitaria, carrera 30 # 45 - 03, Edifi*;3165000 - Ext: 11852 y 3165441/ 3165413 - 316 5441;mcj_fcbog@unal.edu.co;http://www.cienciayjuego.com;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Privada;N.A;N.A;N.A;N.A;11001-14
34;38;Museo de la Independencia Casa del Florero;Carrera 7 No. 11 - 28;3344150 3108704294;museoindependencia@mincultura.gov.co;N.A;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-17
35;39;Museo de La Salle Bogotá - Congregación de Hermanos de Las Escuelas Cristianas;Carrera 2 No. 10 - 70;353 53 60 Ext. 2209 / 2214 - 334 61 89;museo@lasalle.edu.co;www.museo.lasalle.edu.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;NoConstit*;N.A;N.A;N.A;N.A;11001-18
36;41;Museo de las telecomunicaciones y medios electrónicos;carrera 7a Numero 106-54 of 204;7577164 3015104536;museodetelecomunicaciones@gmail.com;N.A;01;USAQUEN;UPZ14;USAQUEN;Activo;Privada;N.A;N.A;N.A;N.A;11001-65
37;42;Museo de los Niños Colsubsidio;Carrera 60 # 63 - 27;2257587 - 2257509 - 2259579;museodelosninos@colsubsidio.com;http://www.museodelosninos.org.co;12;BARRIOS UNIDOS;UPZ103;PARQUE SALITRE;Activo;Privada;N.A;N.A;N.A;N.A;11001-29
38;44;Museo de Trajes;Calle 10 No. 6 - 26;341 0403 - 284 6060;museotrajes@uamerica.edu.co;http://www.museodetrajes.com.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Privada;N.A;N.A;N.A;N.A;11001-23
39;45;Museo Alice Milliat;Avenida Corpas 158 - 45;16815547 3153927387;clemencia.anaya@olimpismo.org;www.olimpismo.org;11;SUBA;UPR1;UPR ZONA NORTE;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
40;46;Museo del Mar - Universidad Jorge Tadeo Lozano;Carrera 4 # 22 - 61; 2427030 Ext. 3140 - 1950 311 5133789;museo.mar@utadeo.edu.co;http://www.utadeo.edu.co/dependencias/museo/;03;SANTA FE;UPZ93;LAS NIEVES;PreActivo;NoConstit*;N.A;N.A;N.A;N.A;11001-24
41;47;Museo del Oro del Banco de La República;Cra.7 No.14-78;343 1414 - 284 7450;museodeloro@banrep.gov.co;http://www.banrep.gov.co;03;SANTA FE;UPZ93;LAS NIEVES;Activo;Publica;N.A;N.A;N.A;N.A;11001-13
42;48;Museo del vidrio;Calle 7 Sur #0 Este-65;4646011 3218801725;museodelvidriodebogota@gmail.com;www.museodelvidriodebogota.org;04;SAN CRISTOBAL;UPZ33;SOSIEGO;Activo;Privada;N.A;N.A;N.A;N.A;11001-28
58;66;Museo Oficial Millonarios Fútbol Club;Avenida Carrera 30 No. 57-60 Estadio Nemesio Cama*;7456809 - 7433941 3504269231;museooficialmfc@gmail.com;http://millonarios.com.co/news/detail/1051museo-o*;13;TEUSAQUILLO;UPZ100;GALERIAS;Activo;Privada;N.A;N.A;N.A;N.A;11001-57
59;68;Museo pedagógico colombiano;calle 127 N0. 11-20;(57-1) 5941894 Ext. 649 3214096742;museopedagogico@pedagogica.edu.co;http://museo_pedagogico.pedagogica.edu.co/;01;USAQUEN;UPZ15;COUNTRY CLUB;Activo;Privada;N.A;N.A;N.A;N.A;11001-61
60;70;Museo Santa Clara;Carrera 8 No. 8 - 91;5713376762;ctoquica@mincultura.gov.co;www.museocolonial.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Publica;N.A;N.A;N.A;N.A;11001-15
61;71;Museo Sociedad de Cirugía de Bogotá - Hospital de San José;Carrera 19 No.8 A-32 Calle 10 No. 18 - 75 Hospita*;3538100 ext.3536 - 3513375;museo@fucsalud.edu.co;http://www.fucsalud.edu.co/museo;14;LOS MARTIRES;UPZ102;LA SABANA;Activo;Privada;N.A;N.A;N.A;N.A;11001-20
62;72;Museo Universitario de Artes Digitales MUNAD;Calle 14 Sur No. 14 - 23 piso 4 ECSAH;344 3700 3132531642;raul.martinez@unad.edu.co;http://munad.unad.edu.co/;15;ANTONIO NARIÑO;UPZ38;RESTREPO;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
63;73;Casa Cuervo Urisarri;Calle 10 # 4-69, Bogotá, Colombia.; 342 2121;museos@caroycuervo.gov.co;www.caroycuervo.gov.co/;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Privada;N.A;N.A;N.A;N.A;11001-60
64;74;Planetario de Bogotá  IDARTES;Calle 26 # 5-93, Bogotá;2814150;planetario@scrd.gov.co;www.idartes.gov.co;03;SANTA FE;UPZ91;SAGRADO CORAZON;Activo;Publica;N.A;N.A;N.A;N.A;11001-59
65;75;Museo del saber en gestión del riesgo de desastres;Avenida Calle 26 # 92-32, Edificio G4 - piso 2;(+57 1) 552-96-96 Ext. 721 3202407201;museodelsaberGRD@gestiondelriesgo.gov.co;www.gestiondelriesgo.gov.co;10;ENGATIVA;UPZ116;ALAMOS;Activo;Privada;N.A;N.A;N.A;N.A;11001-63
66;76;Universidad de los Andes; Calle 19A Nº 1 - 37;3394949;alherrer@uniandes.edu.co;https://uniandes.edu.co/;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Privada;N.A;N.A;N.A;N.A;No asignado
67;77;Museo del Cuero;carrera 24B # 20-58;3661086;N.A;N.A;15;ANTONIO NARIÑO;UPZ38;RESTREPO;N.A;Sin infor*;N.A;N.A;N.A;N.A;No asignado
68;78;Museo Antonio Nariño;calle 10 sur No. 39 - 29;2030131;N.A;N.A;16;PUENTE ARANDA;UPZ40;CIUDAD MONTES;N.A;Sin infor*;N.A;N.A;N.A;N.A;No asignado
69;79;Museo de minerales;carrera 7 # 40 - 62;N.A;N.A;N.A;02;CHAPINERO;UPZ99;CHAPINERO;N.A;Sin infor*;N.A;N.A;N.A;N.A;No asignado
70;80;Museo Arqueológico del Colegio Nueva Granada;carrera 2 Este 70 -20;2123520;N.A;N.A;02;CHAPINERO;UPZ90;PARDO RUBIO;N.A;Privada;N.A;N.A;N.A;N.A;No asignado
71;81;Museo Javeriano de Historia Natural;carrera 7 # 43-88;3208320;N.A;N.A;02;CHAPINERO;UPZ99;CHAPINERO;N.A;Privada;N.A;N.A;N.A;N.A;No asignado
72;82;Museo de la Imprenta y las Artes Gráficas;carrera 66 # 24 - 09;4578000;N.A;N.A;13;TEUSAQUILLO;UPZ109;CIUDAD SALITRE ORIENTAL;N.A;Sin infor*;N.A;N.A;N.A;N.A;No asignado
43;49;Museo Diego Díaz;Cra 7 # 28 - 66;3816470;diegodiaz@yahoo.com;N.A;03;SANTA FE;UPZ91;SAGRADO CORAZON;PreRegistro;Privada;N.A;N.A;N.A;N.A;11001-64
