OBJECTID_1;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO
2;120;AUDITORIO TORREÓN BLOQUE B 319;CL 72 11 86;N.D;javierpiracun@gmail.com -  teatrotorreón@gmail.com;http://www.pedagogica.edu.co/;2;CHAPINERO;UPZ97;CHICO LAGO;8306;PORCIUNCULA;N.A;AUDITORIO;N.A;N.A
3;121;CENTRO DE EVENTOS Y CONVENCIONES D T SAS - DOWN TOWN MAJESTIC;CL 23 6 19;2454510 EXT 101, 102 Y 103;elcentrodeconvensiones@gmail.com;http://www.elcentrodeconvenciones.com/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;AUDITORIO;N.A;N.A
4;122;AUDITORIO MAYOR FRANCISCO JOSÉ DE CALDAS;KR 3 26D 54;3238400;planeac@udistrital.edu.co;http://www.udistrital.edu.co/;3;SANTA FE;UPZ92;LA MACARENA;101405;PARQUE NACIONAL ORIENTAL;N.A;AUDITORIO;N.A;N.A
5;123;AUDITORIO FABIO LOZANO;KR 4 22 61 MÓDULO 21  EDIFICIO AUDITORIO BIBLIOTE*;2427030 EXT 3102;auditorio@utadeo.edu.eco;http://www.utadeo.edu.co/es;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;AUDITORIO;N.A;N.A
6;124;AUDITORIO LORENZO BOTERO JARAMILLO;KR 4 19 85;3500699 EXT 6524;erjimenez@fenalcobogota.com.co;http://www.fenalcobogota.com.co/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;AUDITORIO;N.A;N.A
7;125;TEATRO MÉXICO - AUDITORIO JORGE ENRIQUE MOLINA y AUDITORIO FUNDADORES;CL 22 5 85;3340293;bgiralb@ucentral.edu.co;http://www.ucentral.edu.co/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;AUDITORIO;N.A;N.A
8;126;CENTRO DE CONVENCIONES GONZALO JIMÉNEZ DE QUESADA;CL 26A 13A 10;3422588;kateringblue@gmail.com;http://www.kateringblue.co/;3;SANTA FE;UPZ91;SAGRADO CORAZON;8107;SAN DIEGO;N.A;AUDITORIO;N.A;N.A
9;127;AUDITORIO LEÓN DE GREIFF;AK 30 45 03;3165000 EXT 17603, 17605;dircultura@unal.edu.co;http://www.divulgacion.unal.edu.co/leon_de_greiff/;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;5108;CIUDAD UNIVERSITARIA;N.A;AUDITORIO;N.A;N.A
10;128;AUDITORIO COLEGIO DE NUESTRA SEÑORA DEL BUEN CONSEJO;CL 104 17 22;2562963;info@colbuenco.edu.co;http://www.colbuenco.edu.co/;1;USAQUÉN;UPZ16;SANTA BARBARA;8412;SANTA BIBIANA;N.A;AUDITORIO;N.A;N.A
11;129;CENTRO DE DESARROLLO COMUNITARIO JULIO CÉSAR SÁNCHEZ;AC 91 SUR 3C 34 ESTE;7685863;N.D;http://www.integracionsocial.gov.co/;5;USME;UPZ58;COMUNEROS;2611;CHARALA;N.A;AUDITORIO;N.A;N.A
12;130;EAN AUDITORIO FUNDADORES;KR 11 78 47;5936464 EXT 3319;jmpena@ean.edu.co;http://www.ean.edu.co/seccion/inicio.html;2;CHAPINERO;UPZ97;CHICO LAGO;8312;ESPARTILLAL;N.A;AUDITORIO;N.A;N.A
13;131;UNIVERSIDAD SANTO TOMAS - AUDITORIO AULA MAGNA;KR 9 51A 28;5878797 EXT 1122;daisyosorio@usantotomas.edu.co;http://www.usta.edu.co/;2;CHAPINERO;UPZ99;CHAPINERO;8212;MARLY;N.A;AUDITORIO;N.A;N.A
14;132;TEATRINO DON ELOY;CL 22 10B 36 SUR;4080461;carlitos.doneloy@gmail.com;http://teatrinodoneloy.wix.com/doneloy;15;ANTONIO NARIÑO;UPZ35;CIUDAD JARDIN;1204;CIUDAD JARDIN SUR;N.A;TEATRO;N.A;N.A
15;133;TEATRO VILLA MAYOR;KR 34B 36 04 SUR;N.D;teatrovillamayor@gmail.com;http://www.antonionarino.gov.co/;15;ANTONIO NARIÑO;UPZ38;RESTREPO;2309;VILLA MAYOR ORIENTAL;N.A;TEATRO;N.A;N.A
16;134;TEATRO NACIONAL LA CASTELLANA;CL 95 47 15;2561399;directorproduccion@teatronacional.com.co;http://teatronacional.co/index.php;12;BARRIOS UNIDOS;UPZ21;LOS ANDES;5304;LA CASTELLANA;N.A;TEATRO;N.A;N.A
17;135;TEATRO DE BELLAS ARTES DE BOGOTÁ;AK 68 90 88;6444900;contactenos@teatrodebellasartesbogota.com;http://www.cafam.com.co/cultura/teatro-cafam-de-bellas-artes;12;BARRIOS UNIDOS;UPZ21;LOS ANDES;5307;LOS ANDES;N.A;TEATRO;N.A;N.A
18;136;TEATRO QUÍMERA;CL 70A 19 40;2179240;teatro_quimera@yahoo.es;N.D;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;7303;COLOMBIA;N.A;TEATRO;N.A;N.A
19;137;COMPAÑÍA DE MARIONETAS NÉSTOR MAHECHA;KR 23 54 40;6067091 - 5431488;marionetasnestormahecha@gmail.com;N.D;13;TEUSAQUILLO;UPZ100;GALERIAS;7202;SAN LUIS;N.A;TEATRO;N.A;N.A
20;138;TEATRO DE SUEÑOS;Reubicado estación de la Sabana;8045908;santi_mimo@hotmail.com;N.D;14;LOS MARTIRES;UPZ102;LA SABANA;6106;EL LISTON;N.A;TEATRO;N.A;N.A
21;139;SALA SEKI SANO;CL 12 2 85;3429621;cctcolombia@gmail.com;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3105;EGIPTO;N.A;TEATRO;N.A;N.A
22;140;CENTRO CULTURAL GABRIEL GARCÍA MÁRQUEZ EL ORIGINAL;CL 12B 3 17;N.D;teatrocgm@gmail.com;http://cgmeloriginal.wix.com;17;CANDELARIA;UPZ94;LA CANDELARIA;3110;LA CATEDRAL;N.A;TEATRO;N.A;N.A
23;141;FUNDACION CULTURAL TEATRO EL LOCAL LA QUINTA PORRA;CL 11 2 78;3340748;N.D;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3105;EGIPTO;N.A;TEATRO;N.A;N.A
24;142;TEATRO TECAL;CL 12B 2 70;3341481;tecal42@yahooo.com;http://www.tecalprogramacion.tk/;17;CANDELARIA;UPZ94;LA CANDELARIA;3104;LA CONCORDIA;N.A;TEATRO;N.A;N.A
25;143;TEATRO AL AIRE LIBRE LA MEDIA TORTA;CL 18 1 05;3795750 EXT 270;cristina.serra@idartes.gov.co;http://www.idartes.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;3103;LAS AGUAS;N.A;TEATRO;N.A;N.A
26;144;TEATRO CAMARÍN DEL CARMEN;CL 9 4 93;N.D;teatrocamarindelcarmen@yahoo.com;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3106;CENTRO ADMINISTRATIVO;N.A;TEATRO;N.A;N.A
27;145;TEATRO COLÓN;CL 10 5 32;2847420;N.D;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3106;CENTRO ADMINISTRATIVO;N.A;TEATRO;N.A;N.A
28;146;TEATRO DELIA ZAPATA OLIVELLA;KR 6 10 76;2825402;N.D;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3106;CENTRO ADMINISTRATIVO;N.A;TEATRO;N.A;N.A
29;147;TEATRO LA CANDELARIA;CL 12 2 59;2863715 - 3420388;teacande@hotmail.com;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3105;EGIPTO;N.A;TEATRO;N.A;N.A
30;148;TEATRO LIBRE SEDE CENTRO;CL 12B 2 44;2814834 - 2813516;admon.escuela.teatrolibre@gmail.com;http://www.teatrolibre.com/;17;CANDELARIA;UPZ94;LA CANDELARIA;3104;LA CONCORDIA;N.A;TEATRO;N.A;N.A
31;149;FUNDACIÓN TEATRO TALLER DE COLOMBIA;CL 10 0 55;2821069 - 2835184;tetacol@gmail.com;http://www.teatrotallerdecolombia.com/index.php/es/;17;CANDELARIA;UPZ94;LA CANDELARIA;3105;EGIPTO;N.A;TEATRO;N.A;N.A
32;150;CIAT CENTRO INTEGRAL DE ARTES TEATRIDANZA, TEATRO LA MONTAÑA;KR 13 ESTE 97 10  KM 5 VÍA LA CALERA ANTIGUA VERE*;5202254 - 6485028;teatridanza@gmail.com, teatridanza@hotmail.com;http://teatridanza.blogia.com/;2;CHAPINERO;UPZ89;SAN ISIDRO - PATIOS;208126;SAN ISIDRO RURAL II;N.A;TEATRO;N.A;N.A
33;151;AUDITORIO SALA ERNESTO BEIN;KR 9 74 99;3477954;guimarecheverri@gimnasiomoderno.edu.co;http://www.gimnasiomoderno.edu.co/;2;CHAPINERO;UPZ97;CHICO LAGO;8306;PORCIUNCULA;N.A;TEATRO;N.A;N.A
34;152;TEATRO ASTOR PLAZA;CL 67 11 58;5406215;adriana.rodriguez@astorplaza.com;http://www.astorplaza.com/;2;CHAPINERO;UPZ97;CHICO LAGO;8201;QUINTA CAMACHO;N.A;TEATRO;N.A;N.A
35;153;CLUB DE TEATRO EXPERIMENTAL LA MAMA;CL 63 9 60;2112709;teatrolamama@yahoo.com;http://www.teatrolamama.com/;2;CHAPINERO;UPZ99;CHAPINERO;8214;CHAPINERO NORTE;N.A;TEATRO;N.A;N.A
36;154;TEATRO LA BARANDA;KR 6 54 04;2353708;tlabaranda2011@gmail.com;http://www.teatrolabaranda.com/;2;CHAPINERO;UPZ90;PARDO RUBIO;8207;BOSQUE CALDERON;N.A;TEATRO;N.A;N.A
37;155;TEATRO NACIONAL FANNY MICKEY;CL 71 10 25;2174577;administrativo@teatronacional.com.co;http://teatronacional.co/index.php;2;CHAPINERO;UPZ97;CHICO LAGO;8201;QUINTA CAMACHO;N.A;TEATRO;N.A;N.A
38;156;TEATRO HILOS MÁGICOS;CL 71 12 22;2101092 - 2101092;hilosmágicos@gmail.com;http://hilosmagicos.com/hilos.html;2;CHAPINERO;UPZ97;CHICO LAGO;8201;QUINTA CAMACHO;N.A;TEATRO;N.A;N.A
39;157;TEATRO DE LA CARRERA;KR 13 61 24 INT 6;2482772;teatrodelacarreratrece@gmail.com;N.D;2;CHAPINERO;UPZ99;CHAPINERO;8213;CHAPINERO CENTRAL;N.A;TEATRO;N.A;N.A
40;158;TEATRO LIBRE SEDE CHAPINERO;CL 62 9A 65;2171988;direccionejecutiva@teatrolibre.com;http://www.teatrolibre.com/;2;CHAPINERO;UPZ99;CHAPINERO;8213;CHAPINERO CENTRAL;N.A;TEATRO;N.A;N.A
41;159;TEATRO R 101;CL 70A 11 29;3477732;teatror101@yahoo.com;http://www.teatror101.com/;2;CHAPINERO;UPZ97;CHICO LAGO;8201;QUINTA CAMACHO;N.A;TEATRO;N.A;N.A
42;160;COLEGIO DISTRITAL GUILLERMO CANO ISAZA - TEATRO EFRAÍN USCATEGUI;KR 16C 62 35 SUR;7650665;N.D;N.D;19;CIUDAD BOLIVAR;UPZ67;LUCERO;2514;MEISSEN;N.A;TEATRO;N.A;N.A
43;161;CENTRO DE ENTRETENIMIENTO FAMILIAR PLAZA DEL JUBILEO COMPENSAR AV 68;AK 68 49A 47;4280666;ejgonzalez@compensar.com -  nihoyost@compensar.com;http://www.compensar.com/;10;ENGATIVA;UPZ105;JARDIN BOTANICO;5506;JARDIN BOTANICO;N.A;TEATRO;N.A;N.A
44;162;LICEO PARROQUIAL SAN GREGORIO MAGNO;KR 29 09 33;2472707;lpsgm@etb.net.com;N.D;14;LOS MARTIRES;UPZ102;LA SABANA;4101;RICAURTE;N.A;TEATRO;N.A;N.A
45;163;TEATRO SAN JORGE;KR 15 13 66;N.D;N.D;http://www.idartes.gov.co;14;LOS MARTIRES;UPZ102;LA SABANA;6105;SAN VICTORINO;N.A;TEATRO;N.A;N.A
46;164;SALA CULTURAL KÁBALA TEATRO;CL 11 SUR 5 56;8069173;kabalateatro@gmail.com;N.D;4;SAN CRISTOBAL;UPZ33;SOSIEGO;1111;SANTA ANA SUR;N.A;TEATRO;N.A;N.A
47;165;CASA JUVENIL DON BOSCO;CL 27 5 56 SUR;2397517;"casajuvenil@ninojesus20dejulio.org - comunicaciones@ninojesus20dejulio.org
";http://www.ninojesus20dejulio.org/;4;SAN CRISTOBAL;UPZ34;20 DE JULIO;1407;SURAMERICA;N.A;TEATRO;N.A;N.A
48;166;SILFOS TEATRO EN EL VIENTO DE PALABRA;KR 16 ESTE 57 06 SUR;N.D;aromaguaque@gmail.com;N.D;4;SAN CRISTOBAL;UPZ51;LOS LIBERTADORES;1322;SAN RAFAEL USME;N.A;TEATRO;N.A;N.A
66;184;FUNDACIÓN TEATRO VARASANTA CENTRO PARA LA TRANSFORACIÓN DEL ACTOR;CL 63 D Bis No. 22 - 37;313 8312851;tvarasanta@gmail.com;http://www.teatrovarasanta.net/;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;7307;MUEQUETA;N.A;TEATRO;N.A;N.A
67;185;TEATRO ACTO LATINO;KR 16 58A 55;3450514;teatroactolatino@gmail.com-artecuartocreciente@gmail.com;http://www.actolatino.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;7203;CHAPINERO OCCIDENTAL;N.A;TEATRO;N.A;N.A
68;186;TEATRO ARLEQUÍN (CASA E);KR 23 41-64;2689268;tatiana.martinez@casae.com;http://casae.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
69;187;TEATRO BARAJAS;KR 23 54 40;2103114;fundabarajas@yahoo.es;http://www.teatrobarajas.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;7202;SAN LUIS;N.A;TEATRO;N.A;N.A
70;188;TEATRO CÁDIZ;KR 37 24 30;2690492;director@teatrocadiz.org;http://teatrocadiz.blogspot.com/;13;TEUSAQUILLO;UPZ107;QUINTA PAREDES;6210;CENTRO NARINO;N.A;TEATRO;N.A;N.A
71;189;TEATRO ERNESTO ARONNA;KR 20 45A 59;6950893;ernestoaronna@hotmail.com;N.D;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7205;PALERMO;N.A;TEATRO;N.A;N.A
72;190;TEATRO LIBÉLULA DORADA;KR 19 51 69;2498658 - 3450683;contacto@libeluladorada.com;http://www.libeluladorada.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;7209;ALFONSO LOPEZ;N.A;TEATRO;N.A;N.A
73;191;CASA ENSAMBLE;KR 24 41 69;3689268;casae@casae.com;http://www.casae.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
74;192;CORPORACIÓN TEATRAL BARRACA;KR 17 50 60;6051528;barracateatro@barracateatro.com;http://www.barracateatro.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;7204;QUESADA;N.A;TEATRO;N.A;N.A
75;193;TEATRO ANTONIO NARIÑO;AC 26 51 53;7491540 - 7491539 - 7491542;teresa.murillo@cundinamarca.gov.co;N.D;13;TEUSAQUILLO;UPZ109;CIUDAD SALITRE ORIENTAL;6216;CIUDAD SALITRE NOR-ORIENTAL;N.A;TEATRO;N.A;N.A
76;194;TEATRO BERNARDO ROMERO LOZANO ACTORES SOCIEDAD COLOMBIANA DE GESTIÓN CÍRCULO COLOMBIANO DE ARTISTAS;CL 46 28 30;2442579 - 2687509;teatrobrl@circulodeartistascolombia.org.com;http://www.circulocolombianodeartistas.org/;13;TEUSAQUILLO;UPZ100;GALERIAS;7206;BELALCAZAR;N.A;TEATRO;N.A;N.A
77;195;FACTORIA L´EXPLOSE;KR 25 50 34;2496492;engira@lexplose.com -  info@lexplose.com;http://www.lexplose.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;7209;ALFONSO LOPEZ;N.A;TEATRO;N.A;N.A
78;196;CENTRO CULTURAL WILLIAM SHEKESPEARE;AK 19 152A 48;6147555;N.D;http://www.anglocolombiano.edu.co/;1;USAQUEN;UPZ13;LOS CEDROS;8530;LAS MARGARITAS;N.A;TEATRO;N.A;N.A
79;197;TEATRO AUDITORIO LEONARDUS;KR 21 127 23;6484502;teatroleonardus@gmail.com;http://www.davinci.edu.co/;1;USAQUEN;UPZ15;COUNTRY CLUB;8401;LA CALLEJA;N.A;TEATRO;N.A;N.A
80;198;TEATRO PATRIA;AK 7 102 51;2147973;N.D;N.D;1;USAQUEN;UPZ14;USAQUEN;8410;ESCUELA DE INFANTERIA;N.A;TEATRO;N.A;N.A
81;199;CENTRO DE DESARROLLO COMUNITARIO DE LA VICTORIA;CL 37 BIS B 2 81 ESTE;3674991;N.D;http://www.integracionsocial.gov.co/;4;SAN CRISTOBAL;UPZ50;LA GLORIA;1355;LAS GUACAMAYAS I;N.A;TEATRO;N.A;N.A
131;250;Artes y Espectaculos Producciónes SAS-Velarte;KR 7  No.  152 - 54;3013915872 - 7495936 - 7495854 - 4793222;velarte@artesproducciones.com - juanrgomez@gmail.com;www.teatrosantafe.com;1;USAQUEN;UPZ13;LOS CEDROS;8538;BOSQUE DE PINOS III;N.A;TEATRO;N.A;N.A
132;251;"Fundación Escuela para las Bellas
en Escena Luz de la Vela";KR 70 D No. 72 - 33;3193920021 - 4580708;luzdevela1663@gmail.com;www.enescenaluzdelavela.org;10;ENGATIVA;UPZ26;LAS FERIAS;5406;BONANZA;N.A;TEATRO;N.A;N.A
133;252;Fundación Coturno;TV 76 No. 83 C - 11;3223050223 - 5380907;fundacioncoturno@gmail.com;www.fundacioncoturno.com;10;ENGATIVA;UPZ29;MINUTO DE DIOS;5612;PARIS GAITAN;N.A;TEATRO;N.A;N.A
134;253;"Corporación Compañía Nacional 
de las Artes";Tv 26 B  No.  41 - 40;3194925157 - 3146685324 - 6426433;compañianacionaldelasartes@gmail.com;www.lacnateatro.com;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
82;200;CENTRO DE DESARROLLO COMUNITARIO LOURDES;KR 2 4 10;2330716;cdclourdesantafecandelaria@gmail.com;http://www.integracionsocial.gov.co/;3;SANTA FE;UPZ96;LOURDES;3212;LOURDES;N.A;TEATRO;N.A;N.A
83;201;CENTRO DE DESARROLLO COMUNITARIO SIMÓN BOLÍVAR;CL 165 7 52;N.D;N.D;http://www.integracionsocial.gov.co/;1;USAQUEN;UPZ10;LA URIBE;8503;SANTA TERESA;N.A;TEATRO;N.A;N.A
84;202;TEATRO UNIVERSIDAD LA SALLE SEDE NORTE;KR 7 172 85;6772799;N.D;N.D;1;USAQUEN;UPZ10;LA URIBE;8529;SAN JOSE DE USAQUEN;N.A;TEATRO;N.A;N.A
85;203;TEATRO MEDIA TORTA BARRIO GIRARDOT;CL 2A 3 6 ESTE;N.D;N.D;N.D;3;SANTA FE;UPZ96;LOURDES;3211;GIRARDOT;N.A;TEATRO;N.A;N.A
86;204;FUNDACIÓN DE TEATRO DITIRAMBO SEDE GALERIAS;KR 23 50 66;2326440;teatro.ditirambo@gmail.com;http://teatroditirambo.org/;13;TEUSAQUILLO;UPZ100;GALERIAS;7209;ALFONSO LOPEZ;N.A;TEATRO;N.A;N.A
87;205;LA FUTILERÍA (CASACORTO);CL 59 17 48;2555699;cortocinesis@hotmail.com;N.D;13;TEUSAQUILLO;UPZ100;GALERIAS;7202;SAN LUIS;N.A;TEATRO;N.A;N.A
88;206;ESPACIO ODEÓN;KR 5 12C 85;7437064;info@espacioodeon.com;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3110;LA CATEDRAL;N.A;TEATRO;N.A;N.A
89;207;TEATRO EXPERIMENTAL FONTIBÓN;CL 24D BIS 99 28;2985520;experimentalfontibon@yahoo.es;N.D;9;FONTIBON;UPZ115;CAPELLANIA;6403;SAN JOSE DE FONTIBON;N.A;TEATRO;N.A;N.A
90;208;BOLÓN DE VERDE CASA CULTURAL;KR 1A 12B 20;2834341;bolondeverde@hotmail.com;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;3104;LA CONCORDIA;N.A;TEATRO;N.A;N.A
91;209;LATINO POWER;CL 58 13 80 88;2482126;latinopower.bogota@gmail.com;N.D;2;CHAPINERO;UPZ99;CHAPINERO;8213;CHAPINERO CENTRAL;N.A;TEATRO;N.A;N.A
92;210;ROCKADEMIA;CL 15 SUR 10 79;N.D;corponarino@gmail.com;N.D;15;ANTONIO NARIÑO;UPZ35;CIUDAD JARDIN;1204;CIUDAD JARDIN SUR;N.A;TEATRO;N.A;N.A
93;211;TEATRO ESTUDIO LA GATA CIRKO;KR 20 71 22;3456085;lagatacirko@gmail.com;N.D;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;7303;COLOMBIA;N.A;TEATRO;N.A;N.A
94;212;JUGUETEATRO ÍGNEO-TEATRO;KR 17 71A 19;5451481;jugueteatro@gmail.com;N.D;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;7303;COLOMBIA;N.A;TEATRO;N.A;N.A
95;213;TEATRO GARAJE;CL 19 4 71 LOCAL 406   407;2142440;teatrodegaraje@gmail.com;N.D;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
96;214;ÁGORA;KR 18A 43 50   CL 44 17 61;6094792;coordinacion.teatro@academiadeartesguerrero.com;N.D;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7102;SANTA TERESITA;N.A;TEATRO;N.A;N.A
97;215;CAYENA CULTURAL;CL 39 20 38;3401908;fundacionculturalcayena@gmail.com;N.D;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
98;216;JAIME BOTERO GOMEZ;CL 70A 9 51;3459400;corpocharlot_aca@hotmail.com;N.D;2;CHAPINERO;UPZ97;CHICO LAGO;8201;QUINTA CAMACHO;N.A;TEATRO;N.A;N.A
99;217;"FABRICA DE TEATRO ""EL PARCHE NACIONAL""";CL 25G 96 32;2675476;N.D;http://ensamblajeteatro.blogspot.com/;9;FONTIBON;UPZ115;CAPELLANIA;6404;PUERTA DE TEJA;N.A;TEATRO;N.A;N.A
100;218;LA VENTANA;CL 63D 22 15;248 0840;info@laventanaproducciones.com;http://www.laventanaproducciones.com/;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;7307;MUEQUETA;N.A;TEATRO;N.A;N.A
101;219;TEATRO TALLER FILARMONICO TEATRO CUBA;CL 20 2A 70;N.D;N.D;http://www.filarmonicabogota.gov.co/newsite/;3;SANTA FE;UPZ92;LA MACARENA;3103;LAS AGUAS;N.A;TEATRO;N.A;N.A
102;221;FUNDACIÓN LA MALDITA VANIDAD TEATRO;AK 19 45A 17;6055312;lamalditavanidad@mediosyartes.com;http://www.lamalditavanidadteatro.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7205;PALERMO;N.A;TEATRO;N.A;N.A
