OBJECTID;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO
14;88;GOETHE-INSTITUT KOLUMBIEN;KR 11A 93 52;6018600;c.garcia@bogota.goethe.org;http://www.goethe.de/ins/co/de/bog.html?wt_sc=bogota;02;CHAPINERO;UPZ97;CHICO LAGO;008307;CHICO NORTE;N.A;PRIVADO;N.A;N.A
15;99;ESCUELA DE CINE BLACK MARÍA;KR 18 82 35;6184719;info@blackmaria.edu.co;http://www.blackmaria.edu.co/;02;CHAPINERO;UPZ97;CHICO LAGO;008314;ANTIGUO COUNTRY;N.A;PRIVADO;N.A;N.A
16;106;SPRACH INSTITUT;KR 7 42 11;2884906;info@sprachintitut-icca.com;http://www.sprachinstitut-icca.com/;02;CHAPINERO;UPZ99;CHAPINERO;008112;SUCRE;N.A;PRIVADO;N.A;N.A
17;165;CENTRO MUSICAL JERUSALEM;KR 42 73A 10 SUR;8106098;leninsilva@fundacionbatuta.org;http://www.fundacionbatuta.org/;19;CIUDAD BOLÍVAR;UPZ70;JERUSALEM;002568;ARBORIZADORA ALTA;N.A;PUBLICO;N.A;N.A
18;155;CASA DE LA CULTURA ASOJUVENIL;CL 66 SUR 18U 19;7170786;asojuvenil@yahoo.com;N.D;19;CIUDAD BOLÍVAR;UPZ67;LUCERO;002504;COMPARTIR;N.A;PRIVADO;N.A;N.A
19;184;CENTRO MUSICAL FONTIBÓN;CL 20B 97B 88;2672408;ladyladino@fundacionbatuta.org;http://www.fundacionbatuta.org/;09;FONTIBÓN;UPZ75;FONTIBON;006410;CENTRO FONTIBON;N.A;PUBLICO;N.A;N.A
20;204;CORPORACIÓN CENTRO DE PROMOCION Y CULTURA BRITALIA;KR 80I 52A 08 SUR;450 88 87;centrodepromocionyculturaijbogota@gmail.com;N.D;08;KENNEDY;UPZ81;GRAN BRITALIA;004557;GRAN BRITALIA;N.A;MIXTO;N.A;N.A
21;205;CORPORACIÓN CASA DE LA JUVENTUD DE KENNEDY;CL 40A 74 34 SUR;N.D;N.D;N.D;08;KENNEDY;UPZ47;KENNEDY CENTRAL;004508;CIUDAD KENNEDY OCCIDENTAL;N.A;PRIVADO;N.A;N.A
22;208;CENTRO MUSICAL KENNEDY;KR 72C BIS 06 08 SUR;4521672;cesardoncel@fundacionbatuta.org;http://www.fundacionbatuta.org/;08;KENNEDY;UPZ44;AMERICAS;004509;CIUDAD KENNEDY;N.A;MIXTO;N.A;N.A
23;214;FUNDACIÓN CULTURAL TEA TROPICAL;KR 77 49 09 SUR;4484018;teatropical@gmail.com;N.D;08;KENNEDY;UPZ48;TIMIZA;004517;JACQUELINE;N.A;PRIVADO;N.A;N.A
24;225;CENTRO CULTURAL ASOCIACIÓN DE VECINOS GRANJA DE S*;KR 12J 33 26;3611822- 2724970;sincudesco@gmail.com;N.D;18;RAFAEL URIBE URIBE;UPZ53;MARCO FIDEL SUAREZ;001425;GRANJAS DE SANTA SOFIA;N.A;PRIVADO;N.A;N.A
25;253;CENTRO DE INFORMACIÓN DOCUMENTACIÓN E INVESTIGACI*;KR 7A 3 04 SUR;N.D;N.D;N.D;04;SAN CRISTÓBAL;UPZ33;SOSIEGO;001210;CALVO SUR;N.A;PUBLICO;N.A;N.A
26;279;ACADEMIA COLOMBIANA DE LA LENGUA;AK 3 17 23;3341190;secretaria.academialengua@yahoo.es;http://www.academiacolombianadelalengua.co/;03;SANTA FE;UPZ93;LAS NIEVES;003103;LAS AGUAS;N.A;PRIVADO;N.A;N.A
27;280;ACADEMIA SUPERIOR DE ARTES DE BOGOTA;KR 13 14 69;2828220;decanatura_artes@udistrital.edu.co;http://www.udistrital.edu.co/;03;SANTA FE;UPZ93;LAS NIEVES;003108;LA CAPUCHINA;N.A;PUBLICO;N.A;N.A
28;281;ALIANZA COLOMBO FRANCESA;KR 3 18 45;3411348;N.D;http://www.alianzafrancesa.org.co/web/ciudad/bogota/inicio/principal;03;SANTA FE;UPZ93;LAS NIEVES;003109;VERACRUZ;N.A;PRIVADO;N.A;N.A
29;283;CASA DE LA CULTURA AFROCOLOMBIANA - SEDE FUNDACIÓ*;KR 5 26B 52;3367204;colombianegra@gmail.com;N.D;03;SANTA FE;UPZ92;LA MACARENA;008105;LA MACARENA;N.A;PRIVADO;N.A;N.A
30;285;CASA SANTANDER;KR 5A 35 39;2885373;casadesantander@gmail.com;http://www.santander.gov.co/;03;SANTA FE;UPZ91;SAGRADO CORAZON;008103;LA MERCED;N.A;PUBLICO;N.A;N.A
31;286;CASA DEL HUILA;CL 35 6 13;2323820;delegacionhuila@huila.gov.com;N.D;03;SANTA FE;UPZ91;SAGRADO CORAZON;008103;LA MERCED;N.A;PUBLICO;N.A;N.A
32;287;CASA DEL TOLIMA;CL 34 5 81;2882349;patarroyo04@hotmail.com;N.D;03;SANTA FE;UPZ91;SAGRADO CORAZON;008103;LA MERCED;N.A;PUBLICO;N.A;N.A
33;288;CASA DEL VALLE;CL 35 5 50;3230853;embajadacasadelvalle@valledelcauca.gov.co;http://www.valledelcauca.gov.co/casadelvalle/;03;SANTA FE;UPZ91;SAGRADO CORAZON;008103;LA MERCED;N.A;MIXTO;N.A;N.A
34;289;CENTRO COLOMBO AMERICANO;CL 19 2A 49;3347640;cgallego@colombobogota.edu.co;http://www.colombobogota.edu.co/;03;SANTA FE;UPZ93;LAS NIEVES;003103;LAS AGUAS;N.A;PRIVADO;N.A;N.A
35;328;CENTRO MUSICAL LA GAITANA;TV 126 133 32;8976280;Deicyesoina@fundacionbatuta.org;http://www.fundacionbatuta.org/;11;SUBA;UPZ71;TIBABUYES;009257;TIBABUYES;N.A;PUBLICO;N.A;N.A
36;340;SALA DE CONCIERTOS DE LA FUNDACIÓN ORQUESTA SINFO*;KR 16 49 52;2322171 - 2322173;sinfonica.juvenil@gmail.com;http://www.fotomuseo.org/;13;TEUSAQUILLO;UPZ100;GALERIAS;007204;QUESADA;N.A;MIXTO;N.A;N.A
37;356;INSTITUTO ITALIANO DE CULTURA DE BOGOTÁ;CL 35 15 32;2453824 - 2454123;amministrazione.iicbogota@esteri.it  ;http://www.iicbogota.esteri.it/IIC_Bogota;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007104;TEUSAQUILLO;N.A;PRIVADO;N.A;N.A
38;357;CENTRO CULTURAL LLANERO;CL 62 20 28;2354907;centroculturallanero.hotmail.com;http://www.centroculturallanero.org.co/;13;TEUSAQUILLO;UPZ100;GALERIAS;007202;SAN LUIS;N.A;PRIVADO;N.A;N.A
39;364;ASOCIACION CRISTIANA DE JOVENES;KR 16 28B 33;2325269;gloriacifu@hotmail.com;http://www.ymcabogota.org/ymca.htm;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007105;ARMENIA;N.A;PRIVADO;N.A;N.A
40;344;SALA OTTO DE GREIF;CL 39 BIS 14 32;2883466 EXT 123;rrmero@ofb.gov.co;http://www.filarmonicabogota.gov.co/newsite/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007103;LA MAGDALENA;N.A;PUBLICO;N.A;N.A
41;350;ACADEMIA DE ARTES GUERRERO;CL 45 18A 25;6094792 - 6094795;contacto@academiadeartesguerrero.com;http://www.academiadeartesguerrero.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007102;SANTA TERESITA;N.A;PRIVADO;N.A;N.A
42;351;ACADEMIA DE BAILE ALMA DE TANGO;KR 27 51 10;2558185 -  4815923;academiaalmadetango@hotmail.com;http://www.almadetango.co/#/showreel;13;TEUSAQUILLO;UPZ100;GALERIAS;007209;ALFONSO LOPEZ;N.A;PRIVADO;N.A;N.A
43;352;ESCUELA DE MÚSICA Y AUDIO FERNANDO SOR;AC 26 34A 37;3407771 - 3407772;pilarcortes@fernandosor.edu.co;http://www.fernandosor.edu.co/;13;TEUSAQUILLO;UPZ107;QUINTA PAREDES;006201;EL RECUERDO;N.A;PRIVADO;N.A;N.A
44;353;COMPAÑÍA AMERICA DANZA;KR 59 45A 40;7521062;info@americadanza.org;http://www.americadanza.org/;13;TEUSAQUILLO;UPZ106;LA ESMERALDA;005111;LA ESMERALDA;N.A;MIXTO;N.A;N.A
45;354;ASOCIACION CULTURAL ADRA;DG 42A 20 45;2328748;adracuerpoenmovimiento@gmail.com - info@adradanza*;http://www.adradanza.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007101;LA SOLEDAD;N.A;PRIVADO;N.A;N.A
46;360;CENTRO MUSICAL TEUSAQUILLO;KR 27A 41 49;N.D;N.D;http://www.fundacionbatuta.org/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007101;LA SOLEDAD;N.A;PRIVADO;N.A;N.A
47;361;CENTRO CULTURAL ISLÁMICO;CL 36 28B 10;3350366;N.D;N.D;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007107;LAS AMERICAS;N.A;PRIVADO;N.A;N.A
48;363;CORPORACIÓN ESCUELA DE FORMACIÓN MUSICAL NUEVA CU*;CL 29A 34A 39;2698474-2698477;corporacion@escuelanuevacultura.edu.co;http://www.escuelanuevacultura.edu.co/;13;TEUSAQUILLO;UPZ107;QUINTA PAREDES;005107;ACEVEDO TEJADA;N.A;PRIVADO;N.A;N.A
49;407;FUNDACIÓN CULTURAL EL CONTRABAJO;KR 61 62 05 SUR;8210901- 7280256;felcontrabajo@yahoo.com;http://fundacionelcontrabajo.blogspot.com/;19;CIUDAD BOLÍVAR;UPZ65;ARBORIZADORA;002411;ISLA DEL SOL;N.A;PRIVADO;N.A;N.A
65;522;CENTRO DE DESARROLLO COMUNITARIO LA GIRALDA;KR 104B 22J 15;4181949 EXT 105-11;lpolania@integracionsocial.gov.co;http://www.integracionsocial.gov.co/;09;FONTIBÓN;UPZ75;FONTIBON;006402;LA CABANA FONTIBON;N.A;PUBLICO;N.A;N.A
66;524;SAN JOSE FUNDACIÓN DE EDUCACIÓN SUPERIOR INSTITUC*;AK 14 63 21;3470000;biblioteca@usanjose.edu.co;http://usanjose.edu.co/;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;007305;LA ESPERANZA;N.A;PRIVADO;N.A;N.A
67;525;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES U*;CL 222 55 37;6761037;jbenavid@udca.edu.co;http://www.udca.edu.co/;11;SUBA;UPZ2;LA ACADEMIA;009136;CASABLANCA SUBA URBANO;N.A;PRIVADO;N.A;N.A
68;528;CENTRO MUSICAL LISBOA;CL 136 154 11;N.D;constanzabarrero@fundacionbatuta.org;http://www.fundacionbatuta.org/;11;SUBA;UPZ71;TIBABUYES;009254;LISBOA;N.A;PRIVADO;N.A;N.A
69;529;CENTRO DE DESARROLLO COMUNITARIO BELLAVISTA;CL 38 SUR 94C 29;4528233 EXT 103;bellavistacdc@gmail.com;http://www.integracionsocial.gov.co/;08;KENNEDY;UPZ82;PATIO BONITO;004627;GALAN;N.A;PUBLICO;N.A;N.A
70;531;CENTRO MUSICAL SAN RAFAEL;CL 135 52 A 55;6332363;anacaicedo@fundacionbatuta.org;http://www.fundacionbatuta.org/;11;SUBA;UPZ19;EL PRADO;009106;SAN JOSE DEL PRADO;N.A;PRIVADO;N.A;N.A
71;199;PARQUE ZONAL LA AMISTAD;KR 78J 41 10 SUR;2645100;eligio.plazas@idrd.gov.co;http://www.idrd.gov.co/sitio/idrd/;08;KENNEDY;UPZ47;KENNEDY CENTRAL;004507;CIUDAD KENNEDY SUR;N.A;PUBLICO;N.A;N.A
72;206;ESCUELA POPULAR NOKANCHIPA;KR 100A 41 85 SUR;N.D;N.D;N.D;08;KENNEDY;UPZ82;PATIO BONITO;004626;LAS ACACIAS;N.A;PRIVADO;N.A;N.A
73;532;COORPORACIÓN CECUDEC (CENTRO CULTURAL DE DESARROL*;CL 81 SUR 42 09;7172495 - 7184181;colegioices@gmail.com;N.D;19;CIUDAD BOLÍVAR;UPZ70;JERUSALEM;002431;POTOSI;N.A;PRIVADO;N.A;N.A
74;24;SALA DE TEATRO EL CONTRABAJO;KR 12 11 72;7756842;felcontrabajo@yahoo.com;http://fundacionelcontrabajo.blogspot.com/;07;BOSA;N.A;N.A;N.A;N.A;N.A;PRIVADO;N.A;N.A
75;625;ESPACIO ADECUADO FONTIBÓN MISAK;KR 125 20 10;N.D;N.D;N.D;09;FONTIBÓN;UPZ76;FONTIBON SAN PABLO;006413;SAN PABLO JERICO;N.A;PUBLICO;N.A;N.A
76;615;ESPACIO ADECUADO FONTIBÓN BAOBAD;KR 100 23 22;N.D;N.D;N.D;09;FONTIBÓN;UPZ75;FONTIBON;006403;SAN JOSE DE FONTIBON;N.A;PUBLICO;N.A;N.A
50;419;CENTRO CULTURAL SKANDIA;AK 19 109A 30;6584000;centrocultural@oldmutual.com.co?;https://www.oldmutual.com.co/centro-cultural/Paginas/default.aspx;01;USAQUÉN;UPZ16;SANTA BARBARA;008418;SAN PATRICIO;N.A;PRIVADO;N.A;N.A
51;423;CENTRO MUSICAL SANTA BIBIANA;CL 106 17 17;6021099;batutasantabibiana@hotmail.com;http://www.fundacionbatuta.org/;01;USAQUÉN;UPZ16;SANTA BARBARA;008412;SANTA BIBIANA;N.A;MIXTO;N.A;N.A
52;417;ASOCIACIÓN CULTURAL MURO DE ESPUMA;KR 16A 155A 32;6721110;N.D;N.D;01;USAQUÉN;UPZ11;SAN CRISTOBAL NORTE;008507;BARRANCAS;N.A;PRIVADO;N.A;N.A
53;442;ASOCIACIÓN HIJOS DEL SUR;CL 75A SUR 1C 29;N.D;asociacionhijosdelsur@gmail.com;http://asociacionhijosdelsur.blogspot.com/;05;USME;UPZ57;GRAN YOMASA;002555;SAN JUAN BAUTISTA;N.A;PRIVADO;N.A;N.A
